day: 0, month: 1, year: 2, hour: 3, minute: 4, weekday: 5, thikaroad?: 6, sentiment: 7, rain: 8, demos: 9, accident: 10, text: 11
6,7,2016,16,24,2,0,1,0,0,0,"16:24 via  @MrsMukaye
 Bishop road already bumper this early . https://t.co/m4q0xZ6JNr"
6,7,2016,16,24,2,0,0,0,0,0,"16:23 via  @kenntwitts  
KBP 715P behaving badly on Limuru Rd. They were disobeying a traffic police orders. https://t.co/2zyplFtQTK"
6,7,2016,16,22,2,0,1,0,0,0,"16;22 via  @wameyokw  
 GRIDLOCKED Kiserian to Ongata Rongai, a bridge by the SMITH hotel under construction. Rescue https://t.co/21wWmOwx95"
6,7,2016,16,21,2,0,1,0,0,1,16:21 Pedestrian in fatal accident at Kangemi inbound. Traffic building up via @HowieAkimala
6,7,2016,16,7,2,0,0,0,0,0,16;07  Mombasa road heading to town pamper to pamper from capital center via @YaMende
6,7,2016,15,59,2,0,1,0,0,0,15:58 How's the traffic on Mombasa road on the way to town? via @great_omz
6,7,2016,15,21,2,0,1,0,0,0,"15:20 via  @KivindyoMusyoki 
Marabou Storks resident on the Nyayo Stadium trees did this to me 😠😠#$&amp;÷*@@# https://t.co/q3MEObxoxx"
6,7,2016,15,5,2,0,0,0,0,0,"15:03 via @andrewmunuve  residents burn down police post where Kimani, his client &amp; taxi driver had been detained  https://t.co/Dwfb82koYg"
6,7,2016,14,58,2,0,1,0,0,1,"14:57 via  @Ipserviceskenya 
 accident on Jogoo road buru buru junction https://t.co/a95VkB56JV"
6,7,2016,14,57,2,0,1,0,0,0,@lengoletu  how was a heavily guarded post torched? i smell a rat; we are not fools; bodaboda riders?take it to the strts via @muriukimut
6,7,2016,14,57,2,0,1,0,0,0,14:56 Trafic jam kibao Mombasa road. via @SOtucha
6,7,2016,14,56,2,0,0,0,0,0,"@NPSOfficial_KE @r_wasike where was the infamous anti-riot police this time round, or they're only meant for Uni, and CORD via @mark_anto616"
6,7,2016,14,53,2,0,1,0,0,0,RT @mlangatt: @KenyanTraffic @Muhahami @r_wasike why did they have to burn a crime scene yet investigations are ongoing
6,7,2016,14,53,2,0,0,0,0,0,"RT @blacqlegend: Unacceptable jungle law by boda bodas, @NPSOfficial_KE should arrest these criminals! https://t.co/7cOUFD9rAF"
6,7,2016,14,52,2,0,1,0,0,1,14:52 @KenyanTraffic accident on Jogoo road buru buru junction https://t.co/a95VkB56JV via @Ipserviceskenya
6,7,2016,14,51,2,0,1,0,0,0,What happens to the forensic evidence?  For we know we hve 1 or 2 labs in Kenya. #Conspiracy time https://t.co/6ibuGBQbBN via @Malowa_Oduol
6,7,2016,14,49,2,0,0,0,0,0,14:48 @r_wasike #WillieKimani you may have torched crucial evidence then u be angry when killers are freed on  technicality via @Gicicio
6,7,2016,14,47,2,0,1,0,0,0,14:47  @LeonLidigu #WillieKimani Brilliant! Law abiding citizens torch the container along with forensic evidence Duh! via @Gicicio
6,7,2016,14,46,2,0,1,0,0,0,14:46 Kenya needs evidence preservation awareness. DNA could have proven detention of the 3.   https://t.co/Q0EfvrPCk6vi @lengoletu
6,7,2016,14,45,2,0,1,0,1,0,"14:45 @JoyWangechiK @LeonLidigu If it were CORD'S demonstrators .., O ooh-lala (ogopa tear-gas and fimbos Via @meshacko1"
6,7,2016,14,42,2,0,1,0,0,0,14:42  These boba boda riders came in numbers just to eliminate Syokimau AP Camp as well..! https://t.co/nOWFNpTD9T via @r_wasike
6,7,2016,14,42,2,0,1,0,0,0,"14:41 via  @r_wasike  
 These boba boda riders came in numbers just to eliminate Syokimau AP Camp as well..! https://t.co/nOWFNpTD9T"
6,7,2016,14,41,2,0,1,0,0,0,"14:40 via  @r_wasike  
Syokimau AP camp burns...hope the fire i see didn't catch the flags...https://t.co/LqTRUDsN8I …"
6,7,2016,14,40,2,0,1,0,0,0,14:39 ....hoping  any evidence needed for prosecution had been collected. https://t.co/KQlV8ip0xm via @PNyaikamba
6,7,2016,14,39,2,0,0,0,0,1,14:39   a very bad accident at Hamza (jogoo rd/ rabai rd) junction. Some matatus need a ban via @hillawama
6,7,2016,14,39,2,0,1,0,0,1,14:38 EARLIER : ......a fatal accident in Makuyu #drivesafe https://t.co/UCBYD61AD3 via @shirugithui
6,7,2016,14,37,2,0,1,0,0,1,"14:37 via  @NaiNyx  1
 Accident along Jogoo Rd at the Buru Buru junction. It's smooth after this point though https://t.co/Of9ZQt6tsH"
6,7,2016,14,36,2,0,0,0,0,1,14:36  @roadalarts a very bad accident at Hamza (jogoo rd/ rabai rd) junction. Some matatus need a ban via @hillawama
6,7,2016,14,32,2,0,0,0,0,1,"14:31  Accident at Makadara, Jogoo road Traffic in mess   #EidMubarak via @MartinMwangii"
6,7,2016,14,31,2,0,1,0,1,0,Demonstrators burn container inside Syokimau police where  Kimani was held before being executed https://t.co/Da4eXkRu7f via @LeonLidigu
6,7,2016,14,27,2,0,1,0,0,1,14:26 Jogoo road accident‼️ @KenyanTraffic @ntsa_kenya https://t.co/QfxETl5YLX via @crimealertkenya
6,7,2016,14,22,2,0,1,0,0,0,14:22  Outer Ring Rd to and from Donholm smooth all the way via @NaiNyx
6,7,2016,14,22,2,0,1,0,0,0,14:21  Prof. Saitoti Avenue- Westlands is CLOSED work in progress. Kindly use alternative routes. via @KenAseka
6,7,2016,14,15,2,0,1,0,0,0,14:15  Kangundo Rd is smooth all the way via @NaiNyx
6,7,2016,14,15,2,0,0,0,0,0,"14:15 @ChegeDanko @AutoblogKE next shocking thing on SGR would be arrival of the engines., mtashangaa via @awattisnr"
6,7,2016,14,15,2,0,1,0,0,0,14;15  @NaiNyx Southern bypass and upper Msa rd area is clear via @mutungajames2
6,7,2016,14,12,2,0,0,0,0,0,"RT @mwarango: Not a holiday for all, Messi in a Mess https://t.co/2ATKR2SCo7"
6,7,2016,14,12,2,0,0,0,0,0,"14:12 Netanyahu: All those roads are closed for me?
UK: Yea, it's all about the Benjamins baby https://t.co/sbnUJVNMJK via @BabaKayai"
6,7,2016,14,8,2,0,0,0,0,0,"RT @robaa_mk: Arrive Alive or this could be you, do drink and drive. Don't drive careless, reckless or dangerous. https://t.co/7SYt3v7ASB"
6,7,2016,14,7,2,0,1,0,0,0,14:07 BREAKING: Lionel Messi sentenced to 21 months in prison for tax fraud. [Spanish Media] https://t.co/EBozfYqsdO
6,7,2016,14,6,2,0,1,0,1,0,"14:06 via  @michael_mugon  
 Happening now. CBD Grindlock lawyers demo #StopExtrajudicialkillings https://t.co/JeJbbypJbv"
6,7,2016,14,5,2,0,1,0,1,0,"14:04 via @michael_mugon  
 Happening now. CBD Grindlock lawyers demo #StopExtrajudicialkillings https://t.co/JeJbbypJbv"
6,7,2016,13,59,2,0,1,0,0,0,13:58 via  @Paulondeng avoid Kingara Rd near Junction. Trailer lost control and rolled backwards blocking entire Rd. https://t.co/mGAYdWaMoA
6,7,2016,13,58,2,0,1,0,0,0,"13:56 via  @MsBigPen 
 gitanga rd hill from junction  lorry blocked traffic building up https://t.co/rvzxy6XipF"
6,7,2016,13,44,2,0,1,0,0,0,"13:43 via  @muchirinjenga  
5 Road safety Tips:  #safetyfirstpic.twitter.com/maKF16YY8J"
6,7,2016,13,43,2,0,1,0,0,0,"13:42  via @muchirinjenga  
Enjoy #EidulFitr  and avoid dunk driving or this could be you. #ArriveAlive https://t.co/P2tB0Osw4B"
6,7,2016,13,40,2,0,1,0,0,0,13:40 nyahuInKenya via @MuthuiMkenya
6,7,2016,13,39,2,0,1,0,0,0,"Between Obanikoro and Onikoro, By SOC Okenwa
https://t.co/069at74BVl https://t.co/lUdrH1U9vd"
6,7,2016,13,31,2,1,1,0,0,0,13:30  how's Thika Rd? via @NaiNyx
6,7,2016,13,30,2,0,0,0,0,0,13:29 #argwingKodhek moving slowly to town via @WandetoM
6,7,2016,13,29,2,0,1,0,0,0,13:29  Right now on Kingara road. Truck stuck across the road. Avoid avoid avoid https://t.co/5RAlvRC2SO  via @Kybe254
6,7,2016,13,29,2,0,1,0,0,0,13:28 Joining Ngong rd from from southern bypass 😰 https://t.co/B4yDjyIhOF  via @chriskirwa
6,7,2016,13,26,2,0,0,0,0,0,13:25 @KeNHAKenya Ngong-Kiserian road is a mess.... Crater size potholes all the way via @cgitosh
6,7,2016,13,25,2,0,1,0,0,0,13:24 Foot wear: These are not the safest options when driving. #ArriveAlive https://t.co/HILXtUDCRg  via @muchirinjenga
6,7,2016,13,24,2,0,1,0,0,0,"13:23 I've decided to go reply imekawia, now I'm stuck at Southern bypass lenana via @LosartasH"
6,7,2016,13,22,2,0,1,0,0,0,13:22 -- kiambu rd clear as hell (hopefully none of us is going to hell thats y i think of it as empty) lol -- good day ya'll! via @MaliaIII
6,7,2016,13,21,2,0,1,0,0,0,13:21 lawmen and women on #KenyattaAve marching against #PoliceHomicide... expect snarl ups via @aydie500
6,7,2016,13,20,2,0,1,0,0,0,13:20 What's happening on mbagathi way? Traffic ain't moving via @innchy_jay
6,7,2016,13,20,2,0,1,0,0,0,13:19 The Israeli PM caused an Epic Jam yesterday and he did not bring with him the original 10 Commandments via @MuthuiMkenya
6,7,2016,13,19,2,0,1,0,0,0,13:19 how I felt yersteday and today along msa road https://t.co/aKLhJQhgNt  via @GBmuriithi
6,7,2016,13,19,2,0,1,0,0,0,"13:19 @KenyanTraffic The only happy people are the owners of Villa Rossa, the rest of us are Mossad via @miminawewe"
6,7,2016,13,18,2,0,1,0,0,0,"13:18 I want to use Ngong Rd from Karen to town using Ngong ma3s, how's the situation from Racecourse?? PLEASE HELP via @LosartasH"
6,7,2016,13,18,2,0,0,0,0,0,13:18 four psv buses overloaded with school kids near nyayo house round about https://t.co/K8R8A6ubYX  via @jwamanji
6,7,2016,13,18,2,0,1,0,0,1,"RT @WaiteKui: Statehouse Rd &amp;, Valley  road junction, a Motorbike and  vehicle accident @KenyanTraffic @Ma3Route @dailynation https://t.co/…"
6,7,2016,13,17,2,0,1,0,0,0,13:17  Waiyaki way https://t.co/fdjnhJyKnE  via @wainaina_john
6,7,2016,13,17,2,0,1,0,0,0,13:16 HowZ traffic outbound langata road via @carolinenganga1
6,7,2016,13,16,2,0,1,0,0,0,13:16 Motor vehicle registration goes online https://t.co/KKlTmL7Imi via @StandardKenya
6,7,2016,13,14,2,0,1,0,0,1,"NTSA: 1,600 lives lost in road accidents in last six months https://t.co/DAQO9cNwEr via @StandardKenya"
6,7,2016,12,55,2,0,1,0,0,1,12:54 accident at mlolongo weigh bridge inbound. Truck completely blocking the road https://t.co/xnfwHjxI78  via @aloviandrew
6,7,2016,12,54,2,0,1,0,0,0,12:53  HowZ traffic outbound langata road via @carolinenganga1
6,7,2016,12,53,2,0,1,0,0,1,12:51 accident at mlolongo weigh bridge inbound. Truck completely blocking the road  https://t.co/ggNrpV3smZ via @aloviandrew
